created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,adressess,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
9/5/15,204355,415383,POINT (-74.13823191471243 40.56785426360856),5,0,OnCurb,Alive,Good,Acer campestre,hedge maple,1or2,Helpful,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,"89 WEST CEDARVIEW AVENUE,Staten Island,Staten Island,10306",89 WEST CEDARVIEW AVENUE,10306,Staten Island,503,5,Staten Island,50,62,24,SI25,Oakwood-Oakwood Beach,5013800,New York,40.5678543,-74.138232,945844.983,146191.385
9/6/15,205759,301278,POINT (-73.89540540519324 40.76686765057031),26,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"22-048 74 STREET,East Elmhurst,Queens,11370",22-048 74 STREET,11370,East Elmhurst,401,4,Queens,22,36,13,QN72,Steinway,4031700,New York,40.7668677,-73.895405,1013222.98,218684.62
9/4/15,201654,224121,POINT (-74.00410729319515 40.6819432732001),10,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"299 COLUMBIA STREET,Brooklyn,Brooklyn,11231",299 COLUMBIA STREET,11231,Brooklyn,306,3,Brooklyn,39,52,26,BK33,Carroll Gardens-Columbia Street-Red Hook,3005100,New York,40.6819433,-74.004107,983110.818,187726.771
9/2/15,198514,108318,POINT (-73.96207980385901 40.80230108588602),18,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,"1 MORNINGSIDE DRIVE,New York,Manhattan,10025",1 MORNINGSIDE DRIVE,10025,New York,109,1,Manhattan,7,69,30,MN09,Morningside Heights,1019701,New York,40.8023011,-73.96208,994748.409,231579.204
9/4/15,203334,340820,POINT (-73.88730078404606 40.75088939064141),11,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,"35-021 79 STREET,Jackson Heights,Queens,11372",35-021 79 STREET,11372,Jackson Heights,403,4,Queens,25,39,13,QN28,Jackson Heights,4028500,New York,40.7508894,-73.887301,1015475.47,212866.007
9/3/15,200628,315984,POINT (-73.81946649097343 40.79313800420383),25,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,"147-043 8 AVENUE,Whitestone,Queens,11357",147-043 8 AVENUE,11357,Whitestone,407,4,Queens,19,27,11,QN49,Whitestone,4097300,New York,40.793138,-73.819466,1034238.51,228290.013
8/29/15,186888,506316,POINT (-73.88088626637622 40.87343705714923),15,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"249 EAST MOSHOLU PARKWAY NORTH,Bronx,Bronx,10467",249 EAST MOSHOLU PARKWAY NORTH,10467,Bronx,207,2,Bronx,11,80,36,BX43,Norwood,2041900,New York,40.8734371,-73.880886,1017192.02,257516.813
9/2/15,196373,103300,POINT (-73.99157274737178 40.716805385067346),13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,"54 ALLEN STREET,New York,Manhattan,10002",54 ALLEN STREET,10002,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1001600,New York,40.7168054,-73.991573,986586.127,200428.16
9/8/15,209441,503960,POINT (-73.91763219387903 40.846375825268666),5,0,OnCurb,Alive,Poor,Ulmus americana,American elm,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,"75 FEATHERBED LANE,Bronx,Bronx,10453",75 FEATHERBED LANE,10453,Bronx,205,2,Bronx,14,77,29,BX36,University Heights-Morris Heights,2021502,New York,40.8463758,-73.917632,1007038.86,247645.678
9/6/15,206435,210654,POINT (-73.96280534088122 40.59078485715291),26,0,OnCurb,Alive,Good,Acer pseudoplatanus,sycamore maple,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,"2438 EAST 7 STREET,Brooklyn,Brooklyn,11235",2438 EAST 7 STREET,11235,Brooklyn,315,3,Brooklyn,48,45,22,BK19,Brighton Beach,3037000,New York,40.5907849,-73.962805,994580.261,154517.462
9/2/15,196080,310272,POINT (-73.82819499212432 40.704944499331496),36,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,"84-006 124 STREET,Kew Gardens,Queens,11415",84-006 124 STREET,11415,Kew Gardens,409,4,Queens,29,27,14,QN60,Kew Gardens,4014000,New York,40.7049445,-73.828195,1031884.67,196153.481
9/5/15,203759,302373,POINT (-73.91209530143406 40.78075206758672),16,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,"24-015 21 AVENUE,Astoria,Queens,11105",24-015 21 AVENUE,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.7807521,-73.912095,1008594.76,223738.096
8/30/15,190359,107635,POINT (-73.95894425967109 40.77222448155208),13,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,"1326 3 AVENUE,New York,Manhattan,10021",1326 3 AVENUE,10021,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1012800,New York,40.7722245,-73.958944,995621.636,220621.659
9/8/15,209909,504038,POINT (-73.90688618113626 40.848106229042735),2,0,OnCurb,Alive,Good,Ulmus americana,American elm,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"1840 GRAND CONCOURSE,Bronx,Bronx,10457",1840 GRAND CONCOURSE,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2023302,New York,40.8481062,-73.906886,1010011.31,248279.107
8/27/15,180295,106100,POINT (-73.9829175035826 40.77013008975271),2,0,OnCurb,Alive,Good,Ulmus americana,American elm,1or2,None,NoDamage,Volunteer,"WiresRope,BranchOther",No,No,No,Yes,No,No,No,No,Yes,"13 WEST 61 STREET,New York,Manhattan,10023",13 WEST 61 STREET,10023,New York,107,1,Manhattan,3,67,27,MN14,Lincoln Square,1014500,New York,40.7701301,-73.982918,988981.666,219856.399
9/7/15,208373,106403,POINT (-73.97558535494926 40.781617201031025),4,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,"390 COLUMBUS AVENUE,New York,Manhattan,10024",390 COLUMBUS AVENUE,10024,New York,107,1,Manhattan,6,67,29,MN12,Upper West Side,1016500,New York,40.7816172,-73.975585,991011.425,224042.021
